"","species","island","sex","year","mass","mass.sd","flip","flip.sd"
"1","Adelie","Biscoe","female",2007,3470,315.43620591175,181.8,8.10555365166378
"2","Adelie","Biscoe","female",2008,3244.44444444444,311.693403487751,186.555555555556,3.97212509593766
"3","Adelie","Biscoe","female",2009,3446.875,389.697112236817,191.25,6.38636941350203
"4","Adelie","Biscoe","male",2007,3770,189.07670401189,181.6,2.30217288664427
"5","Adelie","Biscoe","male",2008,4011.11111111111,239.501797719999,192.555555555556,3.67801274845232
"6","Adelie","Biscoe","male",2009,4268.75,425.052517763562,193.5,5.87974732207334
"7","Adelie","Dream","female",2007,3269.44444444444,170.375402502174,185,5.40832691319598
"8","Adelie","Dream","female",2008,3412.5,246.040066423569,189,6.71884343788848
"9","Adelie","Dream","female",2009,3357.5,217.002944168455,189.5,3.77859468291821
"10","Adelie","Dream","male",2007,4102.5,372.015904677923,188.6,6.31048510197292
"11","Adelie","Dream","male",2008,4100,311.677488989592,195,7.7643875666864
"12","Adelie","Dream","male",2009,3945,310.420861269199,192.8,5.5337349251859
"13","Adelie","Dream",NA,2007,2975,NA,179,NA
"14","Adelie","Torgersen","female",2007,3475,216.712449375401,187.625,5.80486249375716
"15","Adelie","Torgersen","female",2008,3518.75,260.408333199996,190,2.82842712474619
"16","Adelie","Torgersen","female",2009,3193.75,186.485349865038,187.25,4.89168390521827
"17","Adelie","Torgersen","male",2007,4139.28571428571,407.189846912434,192.285714285714,5.76524893114731
"18","Adelie","Torgersen","male",2008,4193.75,277.021788725312,193.5,4.56696210375594
"19","Adelie","Torgersen","male",2009,3784.375,325.120170090999,198.625,5.97464882410913
"20","Adelie","Torgersen",NA,2007,3681.25,413.004741699979,187.25,5.61990510002912
"21","Chinstrap","Dream","female",2007,3569.23076923077,318.059521118861,188.692307692308,6.11534429917367
"22","Chinstrap","Dream","female",2008,3472.22222222222,370.903551404465,192.666666666667,5.1234753829798
"23","Chinstrap","Dream","female",2009,3522.91666666667,171.045692105586,194.333333333333,4.51931880090821
"24","Chinstrap","Dream","male",2007,3819.23076923077,297.76141283645,196.153846153846,2.96777564982468
"25","Chinstrap","Dream","male",2008,4127.77777777778,440.24929806241,202.777777777778,5.38000413052299
"26","Chinstrap","Dream","male",2009,3927.08333333333,330.883516535882,201.833333333333,7.00432766656487
"27","Gentoo","Biscoe","female",2007,4618.75,269.490259564237,211.0625,2.40745370325856
"28","Gentoo","Biscoe","female",2008,4627.27272727273,339.72232103772,213,4.26502944778535
"29","Gentoo","Biscoe","female",2009,4786.25,186.285540586431,213.7,4.18141250372596
"30","Gentoo","Biscoe","male",2007,5552.94117647059,349.763575610053,218.882352941176,4.97345896913276
"31","Gentoo","Biscoe","male",2008,5410.86956521739,334.377481890239,222.086956521739,5.23895412426999
"32","Gentoo","Biscoe","male",2009,5510.71428571429,249.821364750324,223.095238095238,6.13925697381012
"33","Gentoo","Biscoe",NA,2007,4100,NA,216,NA
"34","Gentoo","Biscoe",NA,2008,4650,NA,214,NA
"35","Gentoo","Biscoe",NA,2009,4800,106.066017177982,216.5,0.707106781186548
